domain,beta,se,ci_lo,ci_hi,p
Value Awareness,10.0138,2.1763,5.7484,14.2793,0.0
Factual Understanding,12.0726,2.6387,6.9009,17.2443,0.0
Rational Deliberation,8.1469,2.2288,3.7785,12.5153,0.0003
Intentional Action,12.5923,2.086,8.5038,16.6807,0.0
