model,gap,se,p,ci_lo,ci_hi,N
Gemini 3.5 Flash Lite,-6.9508,1.8871,0.0002,-10.6494,-3.2521,505.0
Claude Opus 5,-7.5998,1.8949,0.0001,-11.3137,-3.8859,565.0
Qwen3.7 Max,-9.3356,1.832,0.0,-12.9262,-5.745,653.0
Mistral Large 2512,-9.6786,1.8326,0.0,-13.2704,-6.0869,635.0
Grok 4.5,-11.3049,1.8075,0.0,-14.8474,-7.7623,659.0
Llama 4 Maverick,-12.5177,1.7566,0.0,-15.9606,-9.0747,659.0
Gpt 5.6 Terra,-13.3473,1.9156,0.0,-17.1018,-9.5928,547.0
Deepseek V4 Pro,-14.7564,1.928,0.0,-18.5353,-10.9776,576.0
